time,open,high,low,close,Volume
2025-05-22T06:15:00+03:00,174.11,175.05,174.02,175.03,52712.827
2025-05-22T06:30:00+03:00,175.03,175.98,174.91,175.78,58596.102
2025-05-22T06:45:00+03:00,175.78,177.52,175.77,176.82,148020.951
2025-05-22T07:00:00+03:00,176.83,177.45,175.99,176.03,80714.016
2025-05-22T07:15:00+03:00,176.03,176.92,175.82,176.41,38440.355
2025-05-22T07:30:00+03:00,176.4,177.25,176.2,177.24,45375.605
2025-05-22T07:45:00+03:00,177.25,177.31,176.37,176.91,29348.711
2025-05-22T08:00:00+03:00,176.9,177.29,176.42,176.73,28148.09
2025-05-22T08:15:00+03:00,176.73,177.77,176.56,177.43,42485.858
2025-05-22T08:30:00+03:00,177.43,177.43,176.57,176.95,32941.076
2025-05-22T08:45:00+03:00,176.96,177.24,175.71,175.86,48795.102
2025-05-22T09:00:00+03:00,175.87,176.56,175.74,176.11,30869.422
2025-05-22T09:15:00+03:00,176.1,176.11,175.26,175.76,46059.372
2025-05-22T09:30:00+03:00,175.75,176.24,175.38,176.24,29218.902
2025-05-22T09:45:00+03:00,176.24,176.47,175.56,175.91,32190.842
2025-05-22T10:00:00+03:00,175.91,177.17,175.5,177.14,26136.549
2025-05-22T10:15:00+03:00,177.15,177.66,176.18,176.48,38127.694
2025-05-22T10:30:00+03:00,176.47,178.79,176.31,178.24,73077.33
2025-05-22T10:45:00+03:00,178.24,178.74,177.99,178.49,36508.358
2025-05-22T11:00:00+03:00,178.49,178.86,178.02,178.55,37019.933
2025-05-22T11:15:00+03:00,178.55,179.35,178.31,178.73,54926.014
2025-05-22T11:30:00+03:00,178.74,179.67,178.45,179.33,97243.334
2025-05-22T11:45:00+03:00,179.33,179.82,178.93,179.79,60438.51
2025-05-22T12:00:00+03:00,179.78,180.87,179.3,180.16,112733.109
2025-05-22T12:15:00+03:00,180.15,180.34,179.62,180.06,45176.779
2025-05-22T12:30:00+03:00,180.07,180.2,179.37,179.72,47355.155
2025-05-22T12:45:00+03:00,179.73,180.17,179.13,179.69,43887.519
2025-05-22T13:00:00+03:00,179.68,179.79,178.47,178.76,53089.087
2025-05-22T13:15:00+03:00,178.75,179.09,178.39,178.97,26344.688
2025-05-22T13:30:00+03:00,178.98,179.33,178.58,178.76,22857.338
2025-05-22T13:45:00+03:00,178.75,178.84,178.09,178.2,30085.608
2025-05-22T14:00:00+03:00,178.2,178.58,177.67,177.92,42837.238
2025-05-22T14:15:00+03:00,177.91,178.16,177.16,177.24,40827.708
2025-05-22T14:30:00+03:00,177.24,178.22,177.2,178.22,26344.994
2025-05-22T14:45:00+03:00,178.22,178.85,177.98,178.08,26059.665
